ID,Bedrijfstak,Bedrijfstak_beschrijving,Periode_code,Periode,Periode_status,Waarde_1,Volume_2,Waarde_3,Volume_4,Waarde_5,Volume_6,Waarde_7,Volume_8,Omzet ongecorrigeerd Waarde,Omzet ongecorrigeerd Volume,Ontwikkeling t.o.v. een jaar eerder Waarde,Ontwikkeling t.o.v. een jaar eerder Volume
0,Detailhandel geen tankstations en apoth.,"Detailhandel (geen autohandel, tankstations en apotheken) 
Dit betreft de totale detailhandel, exclusief tankstations (4730) en apotheken (4773). 
Onder detailhandel verstaat het CBS het verhandelen van niet in het  eigen bedrijf vervaardigde goederen aan consumenten, voor persoonlijk  of huishoudelijk gebruik. Deze bedrijfstak omvat winkels in food, winkels in non-food, postorderbedrijven, internetverkopers en ambulante handel. De handel in auto's valt hier niet onder.",2005MM01,2005 januari,Definitief,85.1,92.6,-3.8,-1.7,93.0,99.5,0.6,0.5,82.8,90.2,-8.1,-6.0
302,"4711, 472 Winkels in voedingsmiddelen","Deze categorie is een samentelling van categorieën: 
4711 Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
472 Gespecialiseerde winkels in voedings- en genotmiddelen",2005MM01,2005 januari,Definitief,77.3,91.0,-1.9,-0.5,79.6,94.1,0.2,0.2,73.1,86.4,-9.2,-7.4
604,4711 Supermarkten,"Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
Deze klasse omvat: 
- winkels die voldoen aan de volgende eisen: 
 1) minimaal de helft van de omzet komt uit winkelverkoop van voedings- en genotmiddelen; 
 2) geen specialisatie, dus geen enkele (sub)klasse van de groep 472 heeft een omzetaandeel van 50% of meer; 
 3) uit elk van 5 verschillende (sub)klassen uit groep 472 wordt 5% of meer van de omzet gehaald. 
Deze criteria gelden per individuele vestiging. 
Deze klasse omvat niet: 
- winkels in diepvriesartikelen algemeen assortiment (47.29.9).",2005MM01,2005 januari,Definitief,73.1,85.9,-1.1,0.8,74.1,87.4,0.4,0.4,68.4,80.8,-9.1,-6.8
906,"4719, 474-477 Winkels in non-foodart.","Winkels in non-foodartikelen 
Deze categorie is een samentelling van categorieën: 
4719 Warenhuizen en dergelijke winkels met een algemeen assortiment non-food 
474 Winkels in consumenten-elektronica 
475 Winkels in overige huishoudelijke artikelen 
476 Winkels in lectuur, sport-, kampeer- en recreatie-artikelen 
477 Winkels en in overige artikelen""",2005MM01,2005 januari,Definitief,94.8,97.4,-4.5,-1.9,108.2,108.1,0.6,0.4,93.8,96.4,-7.3,-4.9
1208,472 Winkels in voedingsmiddelen,"Gespecialiseerde winkels in voedings- en genotmiddelen 
Deze groep omvat de klassen: 
4721 Winkels in aardappelen, groenten en fruit 
4722 Winkels in vlees en vleeswaren, wild en gevogelte 
4723 Winkels in vis en schaal- en weekdieren 
4724 Winkels in brood, banket chocolade en suikerwerk 
4725 Winkels in dranken (geen zuivel) 
4726 Winkels in tabaksproducten en rokersbenodigdheden 
4729 Winkels gespecialiseerd in overige voedings- en genotmiddelen",2005MM01,2005 januari,Definitief,102.5,123.0,-5.4,-5.7,113.4,135.9,-0.6,-0.6,101.2,121.3,-9.5,-9.8
1510,474 Winkels in consumentenelektronica,"Winkels in consumentenelektronica 
Deze groep omvat: 
- winkels in computers (hardware en software) en randapparaten; 
- winkels in communicatieapparatuur, zoals mobieltjes en telefoons; 
- winkels in witgoed en in audio- en videoapparatuur of in een algemeen assortiment van wit- en bruingoed.",2005MM01,2005 januari,Definitief,116.6,65.7,-11.7,0.7,112.1,63.3,-1.3,0.0,115.7,65.2,-12.6,-0.5
1812,475 Winkels in overige huishoudwaren,"Winkels in overige huishoudelijke artikelen 
Deze groep omvat de klassen: 
4751 Winkels in kledingstoffen, huishoudtextiel en fournituren 
4752 Winkels in doe-het-zelfartikelen 
4753 Winkels in vloerbedekking en gordijnen 
4754 Winkels in elektrische huishoudelijke apparatuur en onderdelen daarvoor 
4759 Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2005MM01,2005 januari,Definitief,113.2,122.1,-3.8,-4.0,123.6,134.1,-0.3,-0.3,111.1,119.9,-7.0,-7.1
2114,"Winkels in meubels, woninginrichting alg","Winkels in meubels, woninginrichting alg 
Deze categorie is een samentelling van categorieën: 
4759.1 Winkels in meubels 
4759.2 Winkels in verlichtingsartikelen
4759.3 Winkels in artikelen voor woninginrichting algemeen assortiment",2005MM01,2005 januari,Definitief,114.2,119.4,-1.4,-0.9,111.2,116.2,-1.9,-2.0,111.9,117.1,-4.6,-4.1
2416,4752 Winkels in doe-het-zelfartikelen,"Winkels in doe-het-zelfartikelen 
Deze klasse omvat: 
- winkels in ijzerwaren en gereedschappen voor doe-het-zelf en klein ambachtelijk gebruik; 
- winkels in tuingereedschappen, grasmaaiers e.d. 
- winkels in hang- en sluitwerk; 
- winkels in verf en verfwaren; 
- winkels in behang; 
- winkels met een assortiment bestaande uit verf en verfwaren, behang, gordijnen en gordijnstoffen, binnenzonweringen en jaloezieën; 
- winkels in houten bouw- en tuinmaterialen: 
 w.o. ramen, deuren, kozijnen, trappen en trapleuningen, plaatmateriaal, palen, balken; 
 w.o. pergola's, tuinhekken, schermen, tuinhuisjes enz.; 
- winkels in wand- en vloertegels; 
- winkels in sierstenen en -tegels, sierbanden, keien e.d. bestratingen voor tuin en terras; 
- winkels in keukens en keukenkasten; 
- winkels in parket-, laminaat- en kurkvloeren; 
- winkels in overige bouwmaterialen: 
 w.o. bouwstenen, dakpannen en andere betonelementen voor de bouw; 
 w.o. sanitaire artikelen en sanitair installatiemateriaal: 
 w.o. badkuipen, toiletten en wastafels; 
 w.o. leidingen, fittingen, kranen enz.; 
 w.o. boilers en geisers; 
 w.o. vlakglas; 
 w.o. open haarden, voorzethaarden e.d. inclusief de rookafvoerkanalen; 
 w.o. sauna's.",2005MM01,2005 januari,Definitief,108.0,122.2,-3.3,-5.2,125.8,142.8,2.0,2.1,106.1,120.2,-6.6,-8.3
2718,47528 Bouwmarkten,"Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment 
Deze klasse omvat: 
- detailhandel in bouwmaterialen algemeen assortiment waarvan de artikelengroepen 47.52.1, 47.52.2, 47.52.3, 47.52.4 en 47.52.7 deel uit maken waarbij het omzetaandeel van genoemde artikelengroepen afzonderlijk 5 of meer, maar minder dan 50 % uitmaakt van de omzet. 
Eventueel in combinatie met: 
- op maat zagen of snijden van hout, glas en tegels; 
- verhuur van bouwmachines en gereedschappen.",2005MM01,2005 januari,Definitief,106.4,120.6,-1.8,-3.4,119.7,136.3,2.8,2.9,105.6,119.8,-4.2,-5.7
3020,4759 Winkels overige huishoudartikelen,"Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2005MM01,2005 januari,Definitief,112.8,119.9,-2.8,-1.8,117.0,124.7,-2.1,-2.0,110.7,117.8,-6.1,-5.1
3322,476 Winkels in recreatieartikelen,"Winkels in lectuur, sport-, kampeer- en recreatieartikelen",2005MM01,2005 januari,Definitief,99.3,102.5,-4.6,-1.7,123.0,125.8,1.4,1.1,99.4,102.5,-6.5,-3.8
3624,4765 Speelgoedwinkels,"Winkels in speelgoed 
Deze klasse omvat: 
- winkels in speelgoed, spellen, puzzels e.d., ook in spelcomputers en modelbouwdozen.",2005MM01,2005 januari,Definitief,88.8,79.7,-2.2,5.5,128.7,115.4,8.3,9.6,88.8,79.7,-2.2,5.5
3926,4771 Winkels in kleding,Winkels in kleding en modeartikelen; textielsupermarkten,2005MM01,2005 januari,Definitief,84.3,97.0,-2.4,0.8,104.4,102.0,3.8,3.0,84.1,96.9,-5.9,-2.3
4228,4772 Winkels in schoenen en lederwaren,Winkels in schoenen en lederwaren,2005MM01,2005 januari,Definitief,85.8,94.4,-11.9,-8.7,113.4,113.5,-0.6,-1.5,85.6,93.9,-14.4,-11.7
4530,47741 Drogisterijen,"Winkels in drogisterijartikelen 
Deze klasse omvat: 
- winkels met het volgende pakket: zelfzorggeneesmiddelen, gezondheidsproducten en verplegingsartikelen in combinatie met parfums, decoratieve en verzorgende cosmetica, producten voor mond- en haarverzorging waarbij het omzetaandeel parfums en cosmetica minder dan 50% uitmaakt van de omzet; 
- winkels in schoonmaakartikelen en borstelwaren.",2005MM01,2005 januari,Definitief,82.6,87.2,-3.5,-0.3,88.5,93.5,-1.3,-1.4,81.1,85.6,-7.3,-4.3
4832,"4791 Postorderbedrijven, webwinkels","Detailhandel via internet 
Deze klasse omvat: 
- verkoop aan consumenten via internet: de transactie wordt gesloten via internet; 
- verkoop aan consumenten per postorder. 
De goederen worden naar de koper gezonden, nadat deze zijn keuze heeft gemaakt aan de hand van advertenties, catalogi, showmodellen of een andere vorm van adverteren; 
- verkoop aan consumenten via radio en televisie; 
- verkoop aan consumenten via internetsites, siteshopping; 
- verkoop aan consumenten via de telefoon; 
- telefonische verkoop van abonnementen; 
- verkoop via downloaden van boeken e.d.; 
- internetveilingen. 
Deze klasse omvat niet: 
- verkoop aan consumenten via colportage, huisparty's e.d. (47.99.1); 
- callcenters die voor derden telefonische bestellingen van consumenten opnemen, zoals naar aanleiding van radio- en t.v.reclamespots (82.20).",2005MM01,2005 januari,Definitief,41.3,39.9,-9.5,-6.6,42.1,39.7,14.2,14.2,41.2,39.8,-9.5,-6.6
1,Detailhandel geen tankstations en apoth.,"Detailhandel (geen autohandel, tankstations en apotheken) 
Dit betreft de totale detailhandel, exclusief tankstations (4730) en apotheken (4773). 
Onder detailhandel verstaat het CBS het verhandelen van niet in het  eigen bedrijf vervaardigde goederen aan consumenten, voor persoonlijk  of huishoudelijk gebruik. Deze bedrijfstak omvat winkels in food, winkels in non-food, postorderbedrijven, internetverkopers en ambulante handel. De handel in auto's valt hier niet onder.",2005MM02,2005 februari,Definitief,80.2,86.1,-2.8,-1.1,93.4,100.0,0.4,0.5,79.6,85.6,-3.1,-1.3
303,"4711, 472 Winkels in voedingsmiddelen","Deze categorie is een samentelling van categorieën: 
4711 Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
472 Gespecialiseerde winkels in voedings- en genotmiddelen",2005MM02,2005 februari,Definitief,72.6,85.0,1.1,1.8,79.8,94.1,0.2,0.0,71.5,83.9,-1.3,-0.3
605,4711 Supermarkten,"Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
Deze klasse omvat: 
- winkels die voldoen aan de volgende eisen: 
 1) minimaal de helft van de omzet komt uit winkelverkoop van voedings- en genotmiddelen; 
 2) geen specialisatie, dus geen enkele (sub)klasse van de groep 472 heeft een omzetaandeel van 50% of meer; 
 3) uit elk van 5 verschillende (sub)klassen uit groep 472 wordt 5% of meer van de omzet gehaald. 
Deze criteria gelden per individuele vestiging. 
Deze klasse omvat niet: 
- winkels in diepvriesartikelen algemeen assortiment (47.29.9).",2005MM02,2005 februari,Definitief,68.0,79.3,2.1,3.0,74.3,87.6,0.3,0.2,66.8,78.3,-0.7,0.8
907,"4719, 474-477 Winkels in non-foodart.","Winkels in non-foodartikelen 
Deze categorie is een samentelling van categorieën: 
4719 Warenhuizen en dergelijke winkels met een algemeen assortiment non-food 
474 Winkels in consumenten-elektronica 
475 Winkels in overige huishoudelijke artikelen 
476 Winkels in lectuur, sport-, kampeer- en recreatie-artikelen 
477 Winkels en in overige artikelen""",2005MM02,2005 februari,Definitief,87.2,88.1,-6.6,-4.3,107.2,107.5,-1.0,-0.5,87.2,88.1,-5.2,-2.8
1209,472 Winkels in voedingsmiddelen,"Gespecialiseerde winkels in voedings- en genotmiddelen 
Deze groep omvat de klassen: 
4721 Winkels in aardappelen, groenten en fruit 
4722 Winkels in vlees en vleeswaren, wild en gevogelte 
4723 Winkels in vis en schaal- en weekdieren 
4724 Winkels in brood, banket chocolade en suikerwerk 
4725 Winkels in dranken (geen zuivel) 
4726 Winkels in tabaksproducten en rokersbenodigdheden 
4729 Winkels gespecialiseerd in overige voedings- en genotmiddelen",2005MM02,2005 februari,Definitief,100.7,120.1,-2.5,-2.7,113.4,134.9,0.0,-0.7,99.9,119.0,-3.6,-4.5
1511,474 Winkels in consumentenelektronica,"Winkels in consumentenelektronica 
Deze groep omvat: 
- winkels in computers (hardware en software) en randapparaten; 
- winkels in communicatieapparatuur, zoals mobieltjes en telefoons; 
- winkels in witgoed en in audio- en videoapparatuur of in een algemeen assortiment van wit- en bruingoed.",2005MM02,2005 februari,Definitief,99.7,56.7,-12.0,-0.3,111.0,63.1,-0.9,-0.3,99.8,56.7,-12.1,-0.3
1813,475 Winkels in overige huishoudwaren,"Winkels in overige huishoudelijke artikelen 
Deze groep omvat de klassen: 
4751 Winkels in kledingstoffen, huishoudtextiel en fournituren 
4752 Winkels in doe-het-zelfartikelen 
4753 Winkels in vloerbedekking en gordijnen 
4754 Winkels in elektrische huishoudelijke apparatuur en onderdelen daarvoor 
4759 Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2005MM02,2005 februari,Definitief,107.4,115.9,-6.1,-6.4,121.5,132.4,-1.7,-1.3,107.2,115.7,-4.0,-4.2
2115,"Winkels in meubels, woninginrichting alg","Winkels in meubels, woninginrichting alg 
Deze categorie is een samentelling van categorieën: 
4759.1 Winkels in meubels 
4759.2 Winkels in verlichtingsartikelen
4759.3 Winkels in artikelen voor woninginrichting algemeen assortiment",2005MM02,2005 februari,Definitief,105.5,110.0,-3.1,-2.8,111.0,116.3,-0.2,0.1,105.0,109.6,-1.1,-0.8
2417,4752 Winkels in doe-het-zelfartikelen,"Winkels in doe-het-zelfartikelen 
Deze klasse omvat: 
- winkels in ijzerwaren en gereedschappen voor doe-het-zelf en klein ambachtelijk gebruik; 
- winkels in tuingereedschappen, grasmaaiers e.d. 
- winkels in hang- en sluitwerk; 
- winkels in verf en verfwaren; 
- winkels in behang; 
- winkels met een assortiment bestaande uit verf en verfwaren, behang, gordijnen en gordijnstoffen, binnenzonweringen en jaloezieën; 
- winkels in houten bouw- en tuinmaterialen: 
 w.o. ramen, deuren, kozijnen, trappen en trapleuningen, plaatmateriaal, palen, balken; 
 w.o. pergola's, tuinhekken, schermen, tuinhuisjes enz.; 
- winkels in wand- en vloertegels; 
- winkels in sierstenen en -tegels, sierbanden, keien e.d. bestratingen voor tuin en terras; 
- winkels in keukens en keukenkasten; 
- winkels in parket-, laminaat- en kurkvloeren; 
- winkels in overige bouwmaterialen: 
 w.o. bouwstenen, dakpannen en andere betonelementen voor de bouw; 
 w.o. sanitaire artikelen en sanitair installatiemateriaal: 
 w.o. badkuipen, toiletten en wastafels; 
 w.o. leidingen, fittingen, kranen enz.; 
 w.o. boilers en geisers; 
 w.o. vlakglas; 
 w.o. open haarden, voorzethaarden e.d. inclusief de rookafvoerkanalen; 
 w.o. sauna's.",2005MM02,2005 februari,Definitief,103.2,117.1,-7.2,-8.5,121.1,138.0,-3.7,-3.3,103.1,117.0,-4.9,-6.4
2719,47528 Bouwmarkten,"Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment 
Deze klasse omvat: 
- detailhandel in bouwmaterialen algemeen assortiment waarvan de artikelengroepen 47.52.1, 47.52.2, 47.52.3, 47.52.4 en 47.52.7 deel uit maken waarbij het omzetaandeel van genoemde artikelengroepen afzonderlijk 5 of meer, maar minder dan 50 % uitmaakt van de omzet. 
Eventueel in combinatie met: 
- op maat zagen of snijden van hout, glas en tegels; 
- verhuur van bouwmachines en gereedschappen.",2005MM02,2005 februari,Definitief,97.6,110.9,-2.8,-4.0,117.1,133.7,-2.2,-1.9,97.6,110.8,-0.9,-2.2
3021,4759 Winkels overige huishoudartikelen,"Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2005MM02,2005 februari,Definitief,106.1,112.6,-4.1,-3.3,116.9,125.1,-0.1,0.3,105.7,112.2,-2.0,-1.1
3323,476 Winkels in recreatieartikelen,"Winkels in lectuur, sport-, kampeer- en recreatieartikelen",2005MM02,2005 februari,Definitief,93.8,96.0,-9.9,-7.3,118.6,121.1,-3.6,-3.7,94.5,96.8,-9.0,-6.4
3625,4765 Speelgoedwinkels,"Winkels in speelgoed 
Deze klasse omvat: 
- winkels in speelgoed, spellen, puzzels e.d., ook in spelcomputers en modelbouwdozen.",2005MM02,2005 februari,Definitief,82.4,73.4,-15.1,-10.1,117.4,104.3,-8.8,-9.6,82.4,73.4,-15.1,-10.1
3927,4771 Winkels in kleding,Winkels in kleding en modeartikelen; textielsupermarkten,2005MM02,2005 februari,Definitief,73.3,77.6,-6.9,-3.6,103.4,102.3,-1.0,0.3,73.1,77.6,-5.0,-1.7
4229,4772 Winkels in schoenen en lederwaren,Winkels in schoenen en lederwaren,2005MM02,2005 februari,Definitief,70.1,74.2,-10.2,-6.9,115.5,114.5,1.9,0.9,70.1,74.3,-9.3,-5.8
4531,47741 Drogisterijen,"Winkels in drogisterijartikelen 
Deze klasse omvat: 
- winkels met het volgende pakket: zelfzorggeneesmiddelen, gezondheidsproducten en verplegingsartikelen in combinatie met parfums, decoratieve en verzorgende cosmetica, producten voor mond- en haarverzorging waarbij het omzetaandeel parfums en cosmetica minder dan 50% uitmaakt van de omzet; 
- winkels in schoonmaakartikelen en borstelwaren.",2005MM02,2005 februari,Definitief,80.0,84.8,-2.6,0.3,89.7,95.2,1.3,1.8,79.9,84.7,-0.7,2.2
4833,"4791 Postorderbedrijven, webwinkels","Detailhandel via internet 
Deze klasse omvat: 
- verkoop aan consumenten via internet: de transactie wordt gesloten via internet; 
- verkoop aan consumenten per postorder. 
De goederen worden naar de koper gezonden, nadat deze zijn keuze heeft gemaakt aan de hand van advertenties, catalogi, showmodellen of een andere vorm van adverteren; 
- verkoop aan consumenten via radio en televisie; 
- verkoop aan consumenten via internetsites, siteshopping; 
- verkoop aan consumenten via de telefoon; 
- telefonische verkoop van abonnementen; 
- verkoop via downloaden van boeken e.d.; 
- internetveilingen. 
Deze klasse omvat niet: 
- verkoop aan consumenten via colportage, huisparty's e.d. (47.99.1); 
- callcenters die voor derden telefonische bestellingen van consumenten opnemen, zoals naar aanleiding van radio- en t.v.reclamespots (82.20).",2005MM02,2005 februari,Definitief,55.5,52.9,22.2,25.7,56.6,53.3,34.6,34.3,55.0,52.4,18.0,21.4
2,Detailhandel geen tankstations en apoth.,"Detailhandel (geen autohandel, tankstations en apotheken) 
Dit betreft de totale detailhandel, exclusief tankstations (4730) en apotheken (4773). 
Onder detailhandel verstaat het CBS het verhandelen van niet in het  eigen bedrijf vervaardigde goederen aan consumenten, voor persoonlijk  of huishoudelijk gebruik. Deze bedrijfstak omvat winkels in food, winkels in non-food, postorderbedrijven, internetverkopers en ambulante handel. De handel in auto's valt hier niet onder.",2005MM03,2005 maart,Definitief,93.5,99.0,-1.5,0.1,93.5,100.5,0.1,0.5,94.5,100.0,0.9,2.3
304,"4711, 472 Winkels in voedingsmiddelen","Deze categorie is een samentelling van categorieën: 
4711 Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
472 Gespecialiseerde winkels in voedings- en genotmiddelen",2005MM03,2005 maart,Definitief,81.0,94.9,-0.7,0.6,79.1,93.4,-0.9,-0.7,83.0,96.8,4.8,5.3
606,4711 Supermarkten,"Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
Deze klasse omvat: 
- winkels die voldoen aan de volgende eisen: 
 1) minimaal de helft van de omzet komt uit winkelverkoop van voedings- en genotmiddelen; 
 2) geen specialisatie, dus geen enkele (sub)klasse van de groep 472 heeft een omzetaandeel van 50% of meer; 
 3) uit elk van 5 verschillende (sub)klassen uit groep 472 wordt 5% of meer van de omzet gehaald. 
Deze criteria gelden per individuele vestiging. 
Deze klasse omvat niet: 
- winkels in diepvriesartikelen algemeen assortiment (47.29.9).",2005MM03,2005 maart,Definitief,76.0,89.0,-0.7,1.3,73.4,86.8,-1.2,-0.9,78.0,90.9,5.2,6.2
908,"4719, 474-477 Winkels in non-foodart.","Winkels in non-foodartikelen 
Deze categorie is een samentelling van categorieën: 
4719 Warenhuizen en dergelijke winkels met een algemeen assortiment non-food 
474 Winkels in consumenten-elektronica 
475 Winkels in overige huishoudelijke artikelen 
476 Winkels in lectuur, sport-, kampeer- en recreatie-artikelen 
477 Winkels en in overige artikelen""",2005MM03,2005 maart,Definitief,106.3,104.8,-1.7,0.1,108.9,109.8,1.7,2.2,106.8,105.5,-0.8,1.1
1210,472 Winkels in voedingsmiddelen,"Gespecialiseerde winkels in voedings- en genotmiddelen 
Deze groep omvat de klassen: 
4721 Winkels in aardappelen, groenten en fruit 
4722 Winkels in vlees en vleeswaren, wild en gevogelte 
4723 Winkels in vis en schaal- en weekdieren 
4724 Winkels in brood, banket chocolade en suikerwerk 
4725 Winkels in dranken (geen zuivel) 
4726 Winkels in tabaksproducten en rokersbenodigdheden 
4729 Winkels gespecialiseerd in overige voedings- en genotmiddelen",2005MM03,2005 maart,Definitief,111.2,131.4,-1.0,-2.1,114.0,135.0,0.5,0.1,113.5,133.9,3.1,1.7
1512,474 Winkels in consumentenelektronica,"Winkels in consumentenelektronica 
Deze groep omvat: 
- winkels in computers (hardware en software) en randapparaten; 
- winkels in communicatieapparatuur, zoals mobieltjes en telefoons; 
- winkels in witgoed en in audio- en videoapparatuur of in een algemeen assortiment van wit- en bruingoed.",2005MM03,2005 maart,Definitief,108.0,61.9,-5.1,7.1,113.4,65.1,2.1,3.1,106.1,60.8,-6.7,5.3
1814,475 Winkels in overige huishoudwaren,"Winkels in overige huishoudelijke artikelen 
Deze groep omvat de klassen: 
4751 Winkels in kledingstoffen, huishoudtextiel en fournituren 
4752 Winkels in doe-het-zelfartikelen 
4753 Winkels in vloerbedekking en gordijnen 
4754 Winkels in elektrische huishoudelijke apparatuur en onderdelen daarvoor 
4759 Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2005MM03,2005 maart,Definitief,122.3,131.8,-4.1,-4.5,121.3,131.5,-0.2,-0.6,123.1,132.8,-3.6,-4.1
2116,"Winkels in meubels, woninginrichting alg","Winkels in meubels, woninginrichting alg 
Deze categorie is een samentelling van categorieën: 
4759.1 Winkels in meubels 
4759.2 Winkels in verlichtingsartikelen
4759.3 Winkels in artikelen voor woninginrichting algemeen assortiment",2005MM03,2005 maart,Definitief,115.4,120.3,-3.9,-3.7,110.3,115.2,-0.7,-0.9,116.2,121.1,-3.2,-3.0
2418,4752 Winkels in doe-het-zelfartikelen,"Winkels in doe-het-zelfartikelen 
Deze klasse omvat: 
- winkels in ijzerwaren en gereedschappen voor doe-het-zelf en klein ambachtelijk gebruik; 
- winkels in tuingereedschappen, grasmaaiers e.d. 
- winkels in hang- en sluitwerk; 
- winkels in verf en verfwaren; 
- winkels in behang; 
- winkels met een assortiment bestaande uit verf en verfwaren, behang, gordijnen en gordijnstoffen, binnenzonweringen en jaloezieën; 
- winkels in houten bouw- en tuinmaterialen: 
 w.o. ramen, deuren, kozijnen, trappen en trapleuningen, plaatmateriaal, palen, balken; 
 w.o. pergola's, tuinhekken, schermen, tuinhuisjes enz.; 
- winkels in wand- en vloertegels; 
- winkels in sierstenen en -tegels, sierbanden, keien e.d. bestratingen voor tuin en terras; 
- winkels in keukens en keukenkasten; 
- winkels in parket-, laminaat- en kurkvloeren; 
- winkels in overige bouwmaterialen: 
 w.o. bouwstenen, dakpannen en andere betonelementen voor de bouw; 
 w.o. sanitaire artikelen en sanitair installatiemateriaal: 
 w.o. badkuipen, toiletten en wastafels; 
 w.o. leidingen, fittingen, kranen enz.; 
 w.o. boilers en geisers; 
 w.o. vlakglas; 
 w.o. open haarden, voorzethaarden e.d. inclusief de rookafvoerkanalen; 
 w.o. sauna's.",2005MM03,2005 maart,Definitief,124.7,141.1,-3.3,-5.0,122.1,138.9,0.8,0.6,126.0,142.5,-2.9,-4.6
2720,47528 Bouwmarkten,"Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment 
Deze klasse omvat: 
- detailhandel in bouwmaterialen algemeen assortiment waarvan de artikelengroepen 47.52.1, 47.52.2, 47.52.3, 47.52.4 en 47.52.7 deel uit maken waarbij het omzetaandeel van genoemde artikelengroepen afzonderlijk 5 of meer, maar minder dan 50 % uitmaakt van de omzet. 
Eventueel in combinatie met: 
- op maat zagen of snijden van hout, glas en tegels; 
- verhuur van bouwmachines en gereedschappen.",2005MM03,2005 maart,Definitief,114.7,130.0,-1.7,-3.2,116.0,132.3,-0.9,-1.1,115.4,130.7,-1.2,-2.7
3022,4759 Winkels overige huishoudartikelen,"Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2005MM03,2005 maart,Definitief,115.6,122.6,-4.0,-3.2,115.8,123.2,-0.9,-1.6,116.4,123.4,-3.3,-2.6
3324,476 Winkels in recreatieartikelen,"Winkels in lectuur, sport-, kampeer- en recreatieartikelen",2005MM03,2005 maart,Definitief,110.9,112.8,-1.9,0.2,119.4,122.2,0.6,0.9,111.8,114.0,-1.4,0.9
3626,4765 Speelgoedwinkels,"Winkels in speelgoed 
Deze klasse omvat: 
- winkels in speelgoed, spellen, puzzels e.d., ook in spelcomputers en modelbouwdozen.",2005MM03,2005 maart,Definitief,99.0,88.3,0.0,4.8,125.4,113.0,6.8,8.4,99.0,88.3,0.0,4.8
3928,4771 Winkels in kleding,Winkels in kleding en modeartikelen; textielsupermarkten,2005MM03,2005 maart,Definitief,106.2,99.7,1.7,4.6,108.7,109.9,5.2,7.4,106.7,100.6,3.9,7.1
4230,4772 Winkels in schoenen en lederwaren,Winkels in schoenen en lederwaren,2005MM03,2005 maart,Definitief,109.1,109.5,0.5,4.2,123.6,126.8,7.0,10.7,110.1,110.8,2.8,6.9
4532,47741 Drogisterijen,"Winkels in drogisterijartikelen 
Deze klasse omvat: 
- winkels met het volgende pakket: zelfzorggeneesmiddelen, gezondheidsproducten en verplegingsartikelen in combinatie met parfums, decoratieve en verzorgende cosmetica, producten voor mond- en haarverzorging waarbij het omzetaandeel parfums en cosmetica minder dan 50% uitmaakt van de omzet; 
- winkels in schoonmaakartikelen en borstelwaren.",2005MM03,2005 maart,Definitief,86.2,91.9,1.7,5.2,89.5,95.7,-0.2,0.5,87.2,92.9,3.5,7.1
4834,"4791 Postorderbedrijven, webwinkels","Detailhandel via internet 
Deze klasse omvat: 
- verkoop aan consumenten via internet: de transactie wordt gesloten via internet; 
- verkoop aan consumenten per postorder. 
De goederen worden naar de koper gezonden, nadat deze zijn keuze heeft gemaakt aan de hand van advertenties, catalogi, showmodellen of een andere vorm van adverteren; 
- verkoop aan consumenten via radio en televisie; 
- verkoop aan consumenten via internetsites, siteshopping; 
- verkoop aan consumenten via de telefoon; 
- telefonische verkoop van abonnementen; 
- verkoop via downloaden van boeken e.d.; 
- internetveilingen. 
Deze klasse omvat niet: 
- verkoop aan consumenten via colportage, huisparty's e.d. (47.99.1); 
- callcenters die voor derden telefonische bestellingen van consumenten opnemen, zoals naar aanleiding van radio- en t.v.reclamespots (82.20).",2005MM03,2005 maart,Definitief,53.5,50.0,-2.4,-0.2,48.4,45.9,-14.6,-13.9,52.8,49.3,-4.0,-1.8
3,Detailhandel geen tankstations en apoth.,"Detailhandel (geen autohandel, tankstations en apotheken) 
Dit betreft de totale detailhandel, exclusief tankstations (4730) en apotheken (4773). 
Onder detailhandel verstaat het CBS het verhandelen van niet in het  eigen bedrijf vervaardigde goederen aan consumenten, voor persoonlijk  of huishoudelijk gebruik. Deze bedrijfstak omvat winkels in food, winkels in non-food, postorderbedrijven, internetverkopers en ambulante handel. De handel in auto's valt hier niet onder.",2005KW01,2005 1e kwartaal,Definitief,86.2,92.6,-2.6,-0.9,93.3,100.0,0.4,0.8,85.6,92.0,-3.4,-1.7
